frame_num, time in sec, dominant OF mag, dominant OF ang, pan, tilt, zoom
5, 0.208541875209, 2.63757324219, 300.996273401, True, False, False
10, 0.417083750417, 5.87696886063, 147.950913272, True, False, False
15, 0.625625625626, 2.71939849854, 62.2553916053, True, False, False
20, 0.834167500834, 6.51739263535, 128.47557142, True, False, False
25, 1.04270937604, 7.31187725067, 121.382474608, True, False, False
30, 1.25125125125, 2.73136782646, 124.37823656, True, False, False
35, 1.45979312646, 3.37312102318, 315.010400898, True, False, False
40, 1.66833500167, 2.61639857292, 289.111115868, True, False, False
45, 1.87687687688, 2.56492137909, 301.435837055, True, False, False
50, 2.08541875209, 1.23392927647, 288.573525339, True, False, False
55, 2.29396062729, 0.900849163532, 28.4860757449, True, False, False
60, 2.5025025025, 1.38406395912, 316.566181388, False, True, False
65, 2.71104437771, 1.19488692284, 312.440091431, True, False, False
70, 2.91958625292, 1.17787611485, 302.325810704, False, True, False
75, 3.12812812813, 1.52049076557, 313.206766505, True, False, False
80, 3.33667000334, 0.817358076572, nan, True, False, False
85, 3.54521187855, 0.854642391205, 152.841000869, True, False, False
90, 3.75375375375, 0.922450959682, 191.02357516, True, False, False
95, 3.96229562896, 1.37244355679, 327.176361169, True, False, False
100, 4.17083750417, 0.800956308842, 65.427625154, True, False, False
105, 4.37937937938, 1.48355209827, 311.095910202, True, False, False
110, 4.58792125459, 1.97443389893, 335.350239794, True, False, False
115, 4.7964631298, 0.746361076832, 133.539050199, True, False, False
120, 5.00500500501, nan, nan, False, True, False
125, 5.21354688021, 1.31997048855, 112.000192085, False, True, False
130, 5.42208875542, 1.70431625843, 20.0221428915, False, True, False
135, 5.63063063063, 1.5963613987, 106.688702307, False, True, False
140, 5.83917250584, 5.3204832077, 161.195483356, False, True, False
145, 6.04771438105, 3.99872231483, 148.552284108, False, True, False
150, 6.25625625626, 2.22097301483, 23.4069421724, True, False, False
155, 6.46479813146, 1.15892934799, 276.417072691, False, True, False
160, 6.67334000667, 0.547987222672, nan, True, False, False
165, 6.88188188188, 0.643522202969, 298.472928314, False, False, False
170, 7.09042375709, 1.13869869709, 335.789038467, False, False, False
175, 7.2989656323, 0.58978074789, nan, False, False, False
180, 7.50750750751, 0.600753843784, nan, False, False, False
185, 7.71604938272, 1.92053949833, 331.236744706, True, False, False
190, 7.92459125792, 1.20019471645, 330.971214272, True, False, False
195, 8.13313313313, 0.923884689808, 301.791225458, True, False, False
200, 8.34167500834, 1.15935480595, 339.001713566, True, False, False
205, 8.55021688355, 0.430680632591, nan, True, False, False
210, 8.75875875876, 0.685692131519, nan, False, False, False
215, 8.96730063397, 1.26979100704, 229.270025379, True, False, False
220, 9.17584250918, 0.849825024605, 34.424122681, True, False, False
225, 9.38438438438, 0.605023622513, 73.5553043795, True, False, False
230, 9.59292625959, 1.90576672554, 330.401795061, True, False, False
235, 9.8014681348, 0.862947165966, 81.8920556955, True, False, False
240, 10.01001001, 0.825295686722, 86.5849215799, True, False, False
245, 10.2185518852, 1.59218728542, 295.495976704, False, True, False
250, 10.4270937604, 1.11951339245, 52.3288557034, True, False, False
255, 10.6356356356, 1.11189949512, 82.1772639047, False, True, False
260, 10.8441775108, 1.09526050091, 291.180471941, False, True, False
265, 11.0527193861, 0.66608697176, 137.778835485, True, False, False
270, 11.2612612613, 0.834998250008, 303.12505212, True, False, False
275, 11.4698031365, 0.991259098053, 322.319440971, False, True, False
280, 11.6783450117, 1.35200345516, 330.790405504, False, True, False
285, 11.8868868869, 0.764094114304, 320.832235581, True, False, False
290, 12.0954287621, 1.20222938061, 335.965639838, True, False, False
295, 12.3039706373, 0.929376602173, 335.588476792, True, False, False
300, 12.5125125125, 1.1076066494, 78.0296520217, True, False, False
305, 12.7210543877, 0.768330276012, 41.0880172353, True, False, False
310, 12.9295962629, 0.768167614937, 41.260267776, True, False, False
315, 13.1381381381, 1.20534074306, 85.4417801392, True, False, False
320, 13.3466800133, 1.72976016998, 118.413131829, False, True, False
325, 13.5552218886, 0.989674389362, 88.886907066, True, False, False
330, 13.7637637638, 0.668666422367, 107.099777243, True, False, False
335, 13.972305639, 0.519335210323, 135.000819964, False, True, False
340, 14.1808475142, 0.627514243126, 316.919766621, True, False, False
345, 14.3893893894, 0.628214895725, nan, False, True, False
350, 14.5979312646, 0.668975293636, 315.633833245, True, False, False
355, 14.8064731398, 1.01511859894, 330.621098775, True, False, False
360, 15.015015015, 1.05767703056, 333.341972933, True, False, False
365, 15.2235568902, 1.12576568127, 23.1621925888, True, False, False
370, 15.4320987654, 0.956726968288, 267.735847615, True, False, False
375, 15.6406406406, 0.601800739765, 62.1615926174, True, False, False
380, 15.8491825158, 0.625006258488, nan, True, False, False
385, 16.0577243911, 0.915601551533, 17.9767061407, True, False, False
390, 16.2662662663, 1.12531244755, 118.864457069, True, False, False
395, 16.4748081415, 0.600358843803, 112.725892854, True, False, False
400, 16.6833500167, 1.83775019646, 341.925990757, True, False, False
405, 16.8918918919, 1.62379682064, 344.456111392, True, False, False
410, 17.1004337671, 1.04970872402, 332.274851497, True, False, False
415, 17.3089756423, 2.55711531639, 312.401651126, False, True, False
420, 17.5175175175, 2.96561336517, 318.212093053, True, False, False
425, 17.7260593927, 3.26840543747, 296.499030965, True, False, False
430, 17.9346012679, 2.0297794342, 329.431279821, True, False, False
435, 18.1431431431, 2.4385471344, 337.831729482, True, False, False
440, 18.3516850184, 1.78959202766, 343.406693807, True, False, False
445, 18.5602268936, 1.52626264095, 328.871340913, True, False, False
450, 18.7687687688, 1.28678238392, 180.847167032, True, False, False
455, 18.977310644, 1.34926593304, 24.4674844279, True, False, False
460, 19.1858525192, 1.3596817255, 13.2728308452, True, False, False
465, 19.3943943944, 1.13463675976, 31.1063753672, True, False, False
470, 19.6029362696, 1.20799565315, 38.2522729561, True, False, False
475, 19.8114781448, 1.7219234705, 109.281346494, True, False, False
480, 20.02002002, 1.6973503828, 13.1343649815, True, False, False
485, 20.2285618952, 1.43674612045, 26.0124032087, True, False, False
490, 20.4371037704, 1.04627656937, 44.1343601523, True, False, False
495, 20.6456456456, 1.20175087452, 15.9834656956, False, True, False
500, 20.8541875209, 1.35046780109, 161.357727669, True, False, False
505, 21.0627293961, 1.07512760162, 86.6461473956, True, False, False
510, 21.2712712713, 0.9492623806, 55.971439984, True, False, False
515, 21.4798131465, 1.20414185524, 328.4513116, True, False, False
520, 21.6883550217, 1.350938797, 260.24042534, True, False, False
525, 21.8968968969, 1.0070040226, 60.2691794248, False, True, False
530, 22.1054387721, 1.25762975216, 22.4028275248, True, False, False
535, 22.3139806473, 1.5339859724, 11.0539559546, True, False, False
540, 22.5225225225, 1.65173327923, 18.2387702539, False, True, False
545, 22.7310643977, 1.65264415741, 104.016192719, True, False, False
550, 22.9396062729, 1.71337163448, 15.3784970578, True, False, False
555, 23.1481481481, 1.36883485317, 14.0449094526, True, False, False
560, 23.3566900234, 1.26017701626, 21.3669098089, True, False, False
565, 23.5652318986, 1.54388391972, 15.2556407377, False, True, False
570, 23.7737737738, 0.965213119984, 39.1045610362, True, False, False
575, 23.982315649, 1.91233706474, 325.383846323, True, False, False
580, 24.1908575242, 0.964744865894, 31.754908659, True, False, False
585, 24.3993993994, 1.5339089632, 329.231647052, True, False, False
590, 24.6079412746, 1.14108550549, 221.963116326, True, False, False
595, 24.8164831498, 1.36802697182, 345.022306753, True, False, False
600, 25.025025025, 1.68985199928, 343.490377284, True, False, False
