frame_num, time in sec, dominant OF mag, dominant OF ang, pan, tilt, zoom
5, 0.2, nan, nan, False, False, False
10, 0.4, nan, 0.0, False, False, False
15, 0.6, nan, 0.0, False, False, False
20, 0.8, nan, 0.0, False, False, False
25, 1.0, nan, 0.0, False, False, False
30, 1.2, nan, 0.0, False, False, False
35, 1.4, nan, nan, False, False, False
40, 1.6, nan, nan, False, False, False
45, 1.8, nan, nan, False, False, False
50, 2.0, nan, nan, False, False, False
55, 2.2, nan, nan, False, False, False
60, 2.4, nan, nan, False, False, False
65, 2.6, nan, nan, False, False, False
70, 2.8, nan, nan, False, False, False
75, 3.0, nan, nan, False, False, False
80, 3.2, nan, nan, False, False, False
85, 3.4, nan, nan, False, False, False
90, 3.6, 5.29365682602, 209.136157669, False, False, False
95, 3.8, nan, nan, False, False, False
100, 4.0, 9.28781223297, nan, False, False, False
105, 4.2, 9.92249202728, 176.833788857, False, False, False
110, 4.4, nan, nan, False, False, False
115, 4.6, nan, nan, False, False, False
120, 4.8, nan, nan, False, False, False
125, 5.0, 6.87171554565, nan, False, False, False
130, 5.2, nan, nan, False, False, False
135, 5.4, 6.58565044403, nan, False, False, False
140, 5.6, 6.92177391052, nan, False, False, False
145, 5.8, 8.17385482788, 165.743091607, False, False, False
150, 6.0, 8.35019683838, nan, False, False, False
155, 6.2, nan, nan, False, False, False
160, 6.4, nan, nan, False, False, False
165, 6.6, 7.38350439072, 164.236242593, False, False, False
170, 6.8, nan, 159.58458324, False, False, False
175, 7.0, 5.42220211029, nan, False, False, False
180, 7.2, nan, nan, False, False, False
185, 7.4, nan, 192.989549489, False, False, False
190, 7.6, nan, nan, False, False, False
195, 7.8, nan, nan, False, False, False
200, 8.0, nan, nan, False, False, False
205, 8.2, nan, nan, False, False, False
210, 8.4, nan, nan, False, False, False
215, 8.6, nan, nan, False, False, False
220, 8.8, nan, nan, False, False, False
225, 9.0, nan, nan, False, False, False
230, 9.2, nan, nan, False, False, False
235, 9.4, 8.77155780792, 151.292282795, False, False, False
240, 9.6, 4.3937125206, 151.125872066, False, False, False
245, 9.8, 6.44735956192, nan, False, False, False
250, 10.0, 2.89986038208, nan, False, False, False
255, 10.2, nan, nan, False, False, False
260, 10.4, 10.5942144394, 183.235971053, False, False, False
265, 10.6, 11.3548612595, 186.326863879, False, False, False
270, 10.8, 12.0313339233, 238.904362373, False, False, False
275, 11.0, 8.5385684967, nan, False, False, False
280, 11.2, nan, nan, False, False, False
285, 11.4, nan, nan, False, False, False
290, 11.6, 6.95193815231, 141.883615251, False, False, False
295, 11.8, 4.23248100281, nan, False, False, False
300, 12.0, 4.06068563461, nan, False, False, False
305, 12.2, 3.84924435616, nan, False, False, False
310, 12.4, 3.46974754333, nan, False, False, False
315, 12.6, 2.99080300331, nan, False, False, False
320, 12.8, nan, nan, False, False, False
325, 13.0, nan, 169.528792257, False, False, False
330, 13.2, 7.65393686295, nan, False, False, False
335, 13.4, 6.94485330582, 258.407448454, False, False, False
340, 13.6, 8.71455860138, nan, False, False, False
345, 13.8, 6.59911966324, nan, False, False, False
350, 14.0, nan, nan, False, False, False
355, 14.2, 7.33771324158, nan, False, False, False
360, 14.4, nan, nan, False, False, False
365, 14.6, nan, nan, False, False, False
370, 14.8, nan, 0.0, False, False, False
375, 15.0, nan, nan, False, False, False
380, 15.2, 6.69029140472, nan, False, False, False
385, 15.4, 9.13246822357, nan, False, False, False
390, 15.6, 7.44016981125, 207.00668227, False, False, False
395, 15.8, nan, 218.65089805, False, False, False
400, 16.0, nan, 257.916767664, False, False, False
405, 16.2, 6.14645719528, nan, False, False, False
410, 16.4, nan, nan, False, False, False
415, 16.6, 6.47322702408, 151.09930263, False, False, False
420, 16.8, nan, nan, False, False, False
425, 17.0, 7.96784973145, nan, False, False, False
430, 17.2, 8.62185955048, 206.095671639, False, False, False
435, 17.4, 7.57459449768, nan, False, False, False
440, 17.6, nan, nan, False, False, False
445, 17.8, 7.25267934799, nan, False, False, False
450, 18.0, 8.02539157867, nan, False, False, False
455, 18.2, 5.5030040741, nan, False, False, False
460, 18.4, 8.38681697845, nan, False, False, False
465, 18.6, 10.8519868851, 181.754024909, False, False, False
470, 18.8, nan, nan, False, False, False
475, 19.0, 7.90644311905, 193.795142981, False, False, False
480, 19.2, nan, nan, False, False, False
485, 19.4, nan, nan, False, False, False
490, 19.6, nan, nan, False, False, False
495, 19.8, 5.79163455963, nan, False, False, False
500, 20.0, nan, nan, False, False, False
505, 20.2, nan, nan, False, False, False
510, 20.4, nan, nan, False, False, False
515, 20.6, nan, nan, False, False, False
520, 20.8, 7.71417808533, 160.253791515, False, False, False
525, 21.0, nan, 198.545293662, False, False, False
530, 21.2, 7.57820701599, nan, False, False, False
535, 21.4, nan, nan, False, False, False
540, 21.6, nan, nan, False, False, False
545, 21.8, nan, nan, False, False, False
550, 22.0, nan, 70.3933980768, False, False, False
555, 22.2, nan, nan, False, False, False
560, 22.4, nan, nan, False, False, False
565, 22.6, nan, nan, False, False, False
570, 22.8, nan, nan, False, False, False
575, 23.0, nan, nan, False, False, False
580, 23.2, nan, nan, False, False, False
585, 23.4, nan, nan, False, False, False
590, 23.6, nan, nan, False, False, False
595, 23.8, nan, nan, False, False, False
600, 24.0, nan, nan, False, False, False
605, 24.2, nan, nan, False, False, False
610, 24.4, nan, nan, False, False, False
615, 24.6, nan, nan, False, False, False
620, 24.8, nan, nan, False, False, False
625, 25.0, nan, nan, False, False, False
630, 25.2, nan, nan, False, False, False
635, 25.4, nan, nan, False, False, False
640, 25.6, nan, nan, False, False, False
645, 25.8, nan, nan, False, False, False
650, 26.0, nan, nan, False, False, False
655, 26.2, nan, nan, False, False, False
660, 26.4, nan, nan, False, False, False
665, 26.6, nan, nan, False, False, False
670, 26.8, nan, nan, False, False, False
675, 27.0, nan, nan, False, False, False
680, 27.2, 2.79856777191, nan, False, False, False
685, 27.4, nan, nan, False, False, False
690, 27.6, nan, nan, False, False, False
695, 27.8, nan, nan, False, False, False
700, 28.0, nan, nan, False, False, False
705, 28.2, nan, nan, False, False, False
710, 28.4, nan, nan, False, False, False
715, 28.6, nan, nan, False, False, False
720, 28.8, nan, nan, False, False, False
725, 29.0, nan, nan, False, False, False
730, 29.2, nan, nan, False, False, False
735, 29.4, nan, nan, False, False, False
740, 29.6, nan, nan, False, False, False
745, 29.8, nan, nan, False, False, False
750, 30.0, nan, nan, False, False, False
755, 30.2, nan, nan, False, False, False
760, 30.4, nan, nan, False, False, False
765, 30.6, nan, nan, False, False, False
770, 30.8, nan, nan, False, False, False
775, 31.0, nan, nan, False, False, False
780, 31.2, nan, nan, False, False, False
785, 31.4, nan, nan, False, False, False
790, 31.6, nan, nan, False, False, False
795, 31.8, nan, nan, False, False, False
800, 32.0, nan, nan, False, False, False
805, 32.2, nan, nan, False, False, False
810, 32.4, nan, nan, False, False, False
815, 32.6, nan, nan, False, False, False
820, 32.8, nan, nan, False, False, False
825, 33.0, nan, nan, False, False, False
830, 33.2, nan, nan, False, False, False
835, 33.4, nan, nan, False, False, False
840, 33.6, nan, nan, False, False, False
845, 33.8, nan, nan, False, False, False
850, 34.0, nan, nan, False, False, False
855, 34.2, nan, 91.843019769, False, False, False
860, 34.4, nan, 93.0010920031, False, False, False
865, 34.6, nan, nan, False, False, False
870, 34.8, nan, 86.9477822097, False, False, False
875, 35.0, nan, 83.2400140188, False, False, False
880, 35.2, nan, nan, False, False, False
885, 35.4, nan, 226.693240892, False, False, False
890, 35.6, nan, 268.347067583, False, False, False
895, 35.8, nan, 63.5691101903, False, False, False
900, 36.0, 2.84229183197, 53.2536667321, False, False, False
905, 36.2, nan, 252.898982851, False, False, False
910, 36.4, nan, 264.102624109, False, False, False
915, 36.6, nan, nan, False, False, False
920, 36.8, nan, 183.451873332, False, False, False
925, 37.0, 5.97857427597, nan, False, False, False
930, 37.2, nan, nan, False, False, False
935, 37.4, nan, nan, False, False, False
940, 37.6, 13.1327915192, nan, False, False, False
945, 37.8, nan, nan, False, False, False
950, 38.0, nan, nan, False, False, False
955, 38.2, nan, nan, False, False, False
960, 38.4, nan, nan, False, False, False
965, 38.6, nan, nan, False, False, False
970, 38.8, nan, nan, False, False, False
975, 39.0, nan, nan, False, False, False
980, 39.2, nan, nan, False, False, False
985, 39.4, 7.58597993851, 204.093784174, False, False, False
990, 39.6, 1.64143264294, nan, False, False, False
995, 39.8, 2.35935854912, 278.656145305, False, False, False
1000, 40.0, 3.04221725464, 274.049100748, False, False, False
1005, 40.2, 3.39021325111, 280.87177671, False, False, False
1010, 40.4, 5.99826574326, nan, False, False, False
1015, 40.6, nan, nan, False, False, False
1020, 40.8, 6.02448511124, nan, False, False, False
1025, 41.0, nan, nan, False, False, False
1030, 41.2, nan, nan, False, False, False
1035, 41.4, 6.02109479904, nan, False, False, False
1040, 41.6, nan, nan, False, False, False
1045, 41.8, nan, nan, False, False, False
1050, 42.0, 3.80954027176, nan, False, False, False
1055, 42.2, nan, nan, False, False, False
1060, 42.4, 6.97860193253, nan, False, False, False
1065, 42.6, nan, nan, False, False, False
1070, 42.8, 6.71166229248, nan, False, False, False
1075, 43.0, nan, nan, False, False, False
1080, 43.2, 6.52009820938, nan, False, False, False
1085, 43.4, nan, nan, False, False, False
1090, 43.6, nan, nan, False, False, False
1095, 43.8, nan, nan, False, False, False
1100, 44.0, nan, nan, False, False, False
1105, 44.2, nan, nan, False, False, False
1110, 44.4, nan, nan, False, False, False
1115, 44.6, nan, nan, False, False, False
1120, 44.8, nan, nan, False, False, False
1125, 45.0, nan, nan, False, False, False
1130, 45.2, nan, nan, False, False, False
1135, 45.4, nan, nan, False, False, False
