frame_num, time in sec, dominant OF mag, dominant OF ang, pan, tilt, zoom
5, 0.208333333333, nan, nan, False, False, False
10, 0.416666666667, nan, nan, False, False, False
15, 0.625, nan, nan, False, False, False
20, 0.833333333333, nan, nan, False, False, False
25, 1.04166666667, nan, nan, False, False, False
30, 1.25, nan, nan, False, False, False
35, 1.45833333333, nan, nan, False, False, False
40, 1.66666666667, nan, nan, False, False, False
45, 1.875, nan, nan, False, False, False
50, 2.08333333333, nan, nan, False, False, False
55, 2.29166666667, nan, nan, False, False, False
60, 2.5, nan, nan, False, False, False
65, 2.70833333333, nan, nan, False, False, False
70, 2.91666666667, nan, nan, False, False, False
75, 3.125, 4.9120426178, 175.31707705, False, False, False
80, 3.33333333333, nan, nan, False, False, False
85, 3.54166666667, nan, nan, False, False, False
90, 3.75, nan, nan, False, False, False
95, 3.95833333333, nan, nan, False, False, False
100, 4.16666666667, nan, nan, False, False, False
105, 4.375, nan, nan, False, False, False
110, 4.58333333333, nan, nan, False, False, False
115, 4.79166666667, nan, nan, False, False, False
120, 5.0, nan, nan, False, False, False
125, 5.20833333333, nan, nan, False, False, False
130, 5.41666666667, nan, nan, False, False, False
135, 5.625, nan, nan, False, False, False
140, 5.83333333333, nan, nan, False, False, False
145, 6.04166666667, nan, nan, False, False, False
150, 6.25, nan, nan, False, False, False
155, 6.45833333333, nan, nan, False, False, False
160, 6.66666666667, nan, nan, False, False, False
165, 6.875, nan, nan, False, False, False
170, 7.08333333333, nan, nan, False, False, False
175, 7.29166666667, nan, nan, False, False, False
180, 7.5, nan, nan, False, False, False
185, 7.70833333333, nan, nan, False, False, False
190, 7.91666666667, nan, nan, False, False, False
195, 8.125, nan, nan, False, False, False
200, 8.33333333333, nan, nan, False, False, False
205, 8.54166666667, nan, nan, False, False, False
210, 8.75, nan, nan, False, False, False
215, 8.95833333333, nan, nan, False, False, False
220, 9.16666666667, nan, nan, False, False, False
225, 9.375, nan, nan, False, False, False
230, 9.58333333333, nan, nan, False, False, False
235, 9.79166666667, nan, nan, False, False, False
240, 10.0, nan, nan, False, False, False
245, 10.2083333333, nan, nan, False, False, False
250, 10.4166666667, nan, nan, False, False, False
255, 10.625, nan, nan, False, False, False
260, 10.8333333333, nan, nan, False, False, False
265, 11.0416666667, nan, nan, False, False, False
270, 11.25, nan, nan, False, False, False
275, 11.4583333333, nan, nan, False, False, False
280, 11.6666666667, nan, nan, False, False, False
285, 11.875, nan, nan, False, False, False
290, 12.0833333333, nan, nan, False, False, False
295, 12.2916666667, nan, nan, False, False, False
300, 12.5, nan, nan, False, False, False
305, 12.7083333333, nan, nan, False, False, False
310, 12.9166666667, nan, nan, False, False, False
315, 13.125, nan, nan, False, False, False
320, 13.3333333333, nan, nan, False, False, False
325, 13.5416666667, nan, nan, False, False, False
330, 13.75, nan, nan, False, False, False
335, 13.9583333333, nan, nan, False, False, False
340, 14.1666666667, nan, nan, False, False, False
345, 14.375, nan, nan, False, False, False
350, 14.5833333333, nan, nan, False, False, False
355, 14.7916666667, nan, nan, False, False, False
360, 15.0, nan, nan, False, False, False
365, 15.2083333333, nan, nan, False, False, False
