frame_num, time in sec, dominant OF mag, dominant OF ang, pan, tilt, zoom
5, 0.208541875209, 2.4521074295, 49.5040055759, True, False, False
10, 0.417083750417, 2.70769095421, 44.5280317655, True, False, False
15, 0.625625625626, 2.52971196175, 56.2845734216, True, False, False
20, 0.834167500834, 2.36419939995, 66.3197571426, True, False, False
25, 1.04270937604, 1.85546600819, 82.6774728085, True, False, False
30, 1.25125125125, 1.82290947437, 48.0502032261, True, False, False
35, 1.45979312646, 2.72068572044, 71.0132514044, True, False, False
40, 1.66833500167, 2.7346265316, 62.9427476924, False, True, False
45, 1.87687687688, 2.20763111115, 194.337268756, False, True, False
50, 2.08541875209, nan, 279.506148687, True, False, False
55, 2.29396062729, 1.80362987518, 209.093769515, False, False, False
60, 2.5025025025, 2.12071967125, 212.125239695, False, False, False
65, 2.71104437771, nan, 224.423186541, False, False, False
70, 2.91958625292, 1.07098960876, 203.819989211, False, False, False
75, 3.12812812813, nan, 217.83415769, False, False, False
80, 3.33667000334, 1.56551837921, 168.748142616, False, False, False
85, 3.54521187855, 1.58790242672, 118.85835088, False, False, False
90, 3.75375375375, nan, 123.081484164, False, False, False
95, 3.96229562896, nan, 208.418373089, False, False, False
100, 4.17083750417, 1.87911212444, 200.101579585, True, False, False
105, 4.37937937938, 2.04026937485, 191.12359645, True, False, False
110, 4.58792125459, 2.87057352066, 197.771993305, True, False, False
115, 4.7964631298, 3.06814312935, 198.625398121, True, False, False
120, 5.00500500501, 3.20013856888, 192.520575041, True, False, False
125, 5.21354688021, 2.53590798378, 165.144152319, True, False, False
130, 5.42208875542, 2.26498937607, 165.891047165, True, False, False
135, 5.63063063063, 2.15956354141, 185.573944806, True, False, False
140, 5.83917250584, 1.78181481361, 209.470413466, True, False, False
145, 6.04771438105, nan, 228.285644856, True, False, False
150, 6.25625625626, nan, 204.806227546, False, False, False
155, 6.46479813146, nan, 228.651456127, False, False, False
160, 6.67334000667, 1.03544831276, 246.9129231, False, False, False
165, 6.88188188188, nan, 237.167035456, False, False, False
170, 7.09042375709, 1.5820813179, 241.568983093, True, False, False
175, 7.2989656323, 1.88865840435, 256.155671688, True, False, False
180, 7.50750750751, 2.41508769989, 230.529239055, True, False, False
185, 7.71604938272, 3.79709863663, 215.884534833, True, False, False
190, 7.92459125792, 4.64135122299, 227.058300843, True, False, False
195, 8.13313313313, 4.80804920197, 223.234774606, False, True, False
200, 8.34167500834, 5.33139181137, 233.164599244, True, False, False
205, 8.55021688355, 6.58547687531, 240.7409456, True, False, False
210, 8.75875875876, 5.47931575775, 237.22350746, True, False, False
215, 8.96730063397, 3.85795998573, 250.32386493, True, False, False
220, 9.17584250918, 2.38433837891, 240.690975936, True, False, False
225, 9.38438438438, nan, 209.853559758, True, False, False
230, 9.59292625959, 1.45764911175, 136.037697322, True, False, False
235, 9.8014681348, 1.64324045181, 142.153762893, True, False, False
240, 10.01001001, 1.45685362816, 91.0805452614, True, False, False
245, 10.2185518852, 2.18093943596, 54.7804564833, True, False, False
250, 10.4270937604, 2.25246238708, 66.7163998881, True, False, False
255, 10.6356356356, 2.75172305107, 59.921700381, True, False, False
260, 10.8441775108, 2.17866563797, 68.2023826741, False, True, False
265, 11.0527193861, 1.43116748333, 62.6548962, True, False, False
270, 11.2612612613, 1.72380638123, 54.9462115141, False, True, False
275, 11.4698031365, 1.96871829033, 52.4701757324, True, False, False
280, 11.6783450117, 2.41403269768, 50.0460493884, False, True, False
285, 11.8868868869, 2.91280627251, 37.0219680564, True, False, False
