frame_num, time in sec, dominant OF mag, dominant OF ang, pan, tilt, zoom
5, 0.166833500167, 6.07218456268, 220.635081665, True, False, False
10, 0.333667000334, 13.1621665955, 172.313091551, True, False, False
15, 0.500500500501, 3.21119308472, 186.063286879, True, False, False
20, 0.667334000667, 8.30470943451, 151.020646172, True, False, False
25, 0.834167500834, 7.04555225372, 94.6084609111, True, False, False
30, 1.001001001, nan, nan, True, False, False
35, 1.16783450117, nan, nan, False, False, False
40, 1.33466800133, nan, nan, False, False, False
45, 1.5015015015, nan, 150.088420973, False, False, False
50, 1.66833500167, nan, nan, False, False, False
55, 1.83516850184, nan, 222.150837245, False, False, False
60, 2.002002002, nan, nan, False, False, False
65, 2.16883550217, 2.19481992722, nan, False, False, False
70, 2.33566900234, nan, 258.911024641, False, False, False
75, 2.5025025025, 1.55151748657, 304.086633472, False, False, False
80, 2.66933600267, 5.80615139008, 210.785621032, False, False, False
85, 2.83616950284, nan, nan, False, False, False
90, 3.003003003, nan, nan, False, False, False
95, 3.16983650317, nan, nan, False, False, False
100, 3.33667000334, 6.83460521698, nan, False, False, False
105, 3.5035035035, 2.31537032127, 111.661612778, False, False, False
110, 3.67033700367, 2.57951807976, 79.6796891214, False, False, False
115, 3.83717050384, 2.43705916405, 19.7305808988, False, False, False
120, 4.004004004, nan, nan, False, False, False
125, 4.17083750417, 7.10388183594, nan, False, False, False
130, 4.33767100434, nan, nan, False, False, False
135, 4.5045045045, nan, nan, False, False, False
140, 4.67133800467, nan, nan, False, False, False
145, 4.83817150484, nan, nan, False, False, False
150, 5.00500500501, nan, nan, False, False, False
155, 5.17183850517, nan, nan, False, False, False
160, 5.33867200534, nan, nan, False, False, False
165, 5.50550550551, nan, 117.391048661, False, False, False
170, 5.67233900567, nan, 110.429228086, False, False, False
175, 5.83917250584, nan, 213.188973356, False, False, False
180, 6.00600600601, nan, 257.471384689, False, False, False
185, 6.17283950617, nan, nan, False, False, False
190, 6.33967300634, 8.68620300293, nan, False, False, False
195, 6.50650650651, 3.94572329521, 220.501155315, True, False, False
200, 6.67334000667, 6.76287841797, 260.524369965, True, False, False
205, 6.84017350684, 4.19308996201, 266.813116379, True, False, False
210, 7.00700700701, 2.41708731651, 287.05820689, True, False, False
215, 7.17384050717, 4.23004484177, 284.688131248, True, False, False
220, 7.34067400734, nan, nan, False, True, False
225, 7.50750750751, nan, nan, False, False, False
230, 7.67434100767, nan, nan, False, False, False
235, 7.84117450784, nan, nan, False, False, False
240, 8.00800800801, nan, nan, False, False, False
245, 8.17484150817, nan, nan, False, False, False
250, 8.34167500834, nan, nan, False, False, False
255, 8.50850850851, nan, nan, False, False, False
260, 8.67534200868, nan, nan, False, False, False
265, 8.84217550884, nan, nan, False, False, False
270, 9.00900900901, nan, nan, False, False, False
275, 9.17584250918, nan, 135.022102834, False, False, False
280, 9.34267600934, nan, nan, False, False, False
285, 9.50950950951, 2.36195278168, nan, False, False, False
290, 9.67634300968, nan, nan, False, False, False
295, 9.84317650984, 7.53252315521, nan, False, False, False
300, 10.01001001, nan, 157.741333749, False, False, False
305, 10.1768435102, nan, nan, False, False, False
310, 10.3436770103, nan, nan, False, False, False
315, 10.5105105105, nan, nan, False, False, False
320, 10.6773440107, nan, nan, False, False, False
325, 10.8441775108, 1.14968037605, nan, False, False, False
330, 11.011011011, 6.41171979904, nan, False, False, False
335, 11.1778445112, nan, 190.065367921, False, False, False
340, 11.3446780113, 0.428917169571, 211.115286943, False, False, False
345, 11.5115115115, 0.848660051823, 259.599835559, False, False, False
350, 11.6783450117, 0.880705654621, 271.447618297, False, False, False
355, 11.8451785118, 7.23488521576, nan, False, False, False
360, 12.012012012, 9.13350963593, nan, False, False, False
365, 12.1788455122, 8.74349117279, 197.006397401, False, False, False
370, 12.3456790123, 7.51310491562, nan, False, False, False
375, 12.5125125125, 9.09558773041, 170.305603331, False, False, False
380, 12.6793460127, 7.20434951782, nan, False, False, False
385, 12.8461795128, 5.62322616577, nan, False, False, False
390, 13.013013013, 5.62298202515, nan, False, False, False
395, 13.1798465132, 8.01792049408, nan, False, False, False
400, 13.3466800133, 9.05977535248, nan, False, False, False
405, 13.5135135135, nan, 225.530250922, False, False, False
410, 13.6803470137, nan, 193.224316752, False, False, False
415, 13.8471805138, nan, 95.2264086159, False, False, False
420, 14.014014014, nan, nan, False, False, False
425, 14.1808475142, nan, 263.139540115, False, False, False
430, 14.3476810143, nan, 203.943096541, False, False, False
435, 14.5145145145, nan, nan, False, False, False
440, 14.6813480147, nan, 281.098812198, False, False, False
445, 14.8481815148, nan, 171.670411731, False, False, False
450, 15.015015015, 6.91990709305, nan, False, False, False
455, 15.1818485152, 6.37860965729, 74.4268433478, False, False, False
460, 15.3486820153, 8.27993488312, 284.120651811, False, False, False
465, 15.5155155155, 6.66020584106, nan, False, False, False
470, 15.6823490157, 8.73236846924, 80.7606758406, False, False, False
475, 15.8491825158, 6.64021921158, nan, False, False, False
480, 16.016016016, nan, 129.203915472, False, False, False
485, 16.1828495162, nan, 168.37350674, False, False, False
490, 16.3496830163, 7.59249162674, 80.6014368103, False, False, False
495, 16.5165165165, nan, 221.031478523, False, False, False
500, 16.6833500167, nan, 159.750406573, False, False, False
505, 16.8501835169, nan, 218.512914569, False, False, False
510, 17.017017017, nan, 123.905396224, False, False, False
515, 17.1838505172, nan, nan, False, False, False
520, 17.3506840174, 5.32378673553, nan, False, False, False
525, 17.5175175175, 6.16869926453, 109.326951667, False, False, False
530, 17.6843510177, 8.93371486664, 166.662598994, False, False, False
535, 17.8511845179, 9.98288536072, 203.004177756, False, False, False
540, 18.018018018, 5.44307136536, nan, False, False, False
545, 18.1848515182, 6.9237742424, nan, False, False, False
550, 18.3516850184, nan, 222.097356864, False, False, False
555, 18.5185185185, nan, 214.001738546, False, False, False
560, 18.6853520187, nan, nan, False, False, False
565, 18.8521855189, 6.75249910355, nan, False, False, False
570, 19.019019019, 2.86507439613, 283.316082848, False, False, False
575, 19.1858525192, 2.23559260368, 62.1178384256, False, False, False
580, 19.3526860194, 8.89956188202, nan, False, False, False
585, 19.5195195195, 10.2539644241, nan, False, False, False
590, 19.6863530197, nan, nan, False, False, False
595, 19.8531865199, 6.64306688309, nan, False, False, False
600, 20.02002002, nan, 247.428547741, False, False, False
